成功历元数,失败历元数,平均RMS,RMS标准差,平均最大残差,平均卫星数,平均dx,平均dy,平均dz,平均|dx|,平均|dy|,平均|dz|,平均3D位置误差,测站名称,半球,纬度带,纬度,文件名,文件路径,测站完整代码,测站代码,年积日,时段,模型
240,0,9.759920416666667,1.9845265539009302,,9.266666666666667,-6.6404016666666665,20.589614583333333,2.75630125,6.971064166666667,20.589614583333333,4.253881250000001,23.837291730973213,新加坡,北半球,低纬,1.35,NTUS00SGP_2024129_spp_klobuchar.txt,../output/RESULT_afternoon\NTUS00SGP_2024129_spp_klobuchar.txt,NTUS00SGP,NTUS,2024129,12,klobuchar
240,0,10.02965,1.7688731519289513,,9.266666666666667,-9.647803750000001,29.67704541666667,2.304205416666666,9.708696250000001,29.67704541666667,4.0892237499999995,32.43731773891661,新加坡,北半球,低纬,1.35,NTUS00SGP_2024129_spp_no_ionosphere.txt,../output/RESULT_afternoon\NTUS00SGP_2024129_spp_no_ionosphere.txt,NTUS00SGP,NTUS,2024129,12,no_ionosphere
240,0,9.978802083333335,2.8689811518629043,,9.141666666666667,-8.08514875,18.8591825,-1.7698408333333333,8.747932916666667,18.8591825,6.502115833333333,22.743964441117043,新加坡,北半球,低纬,1.35,NTUS00SGP_2024132_spp_klobuchar.txt,../output/RESULT_afternoon\NTUS00SGP_2024132_spp_klobuchar.txt,NTUS00SGP,NTUS,2024132,12,klobuchar
240,0,10.163944583333334,2.5408554770887126,,9.141666666666667,-11.745049583333332,30.20029458333333,-2.321650416666666,11.951317916666666,30.20029458333333,6.5844129166666665,33.797188223980044,新加坡,北半球,低纬,1.35,NTUS00SGP_2024132_spp_no_ionosphere.txt,../output/RESULT_afternoon\NTUS00SGP_2024132_spp_no_ionosphere.txt,NTUS00SGP,NTUS,2024132,12,no_ionosphere
240,0,15.483246666666666,2.4264622442285533,,11.033333333333333,-5.777466666666666,16.469984583333336,-67.76319791666667,5.777466666666666,16.469984583333336,73.85840125,76.64248745933463,斯瓦尔巴,北半球,高纬,78.93,NYA200NOR_2024129_spp_klobuchar.txt,../output/RESULT_afternoon\NYA200NOR_2024129_spp_klobuchar.txt,NYA200NOR,NYA2,2024129,12,klobuchar
240,0,15.439432083333335,2.354608981869796,,11.004166666666666,-4.521590416666667,15.522888333333333,-62.029745000000005,4.521590416666667,15.522888333333333,70.97438333333334,73.39910472622702,斯瓦尔巴,北半球,高纬,78.93,NYA200NOR_2024129_spp_no_ionosphere.txt,../output/RESULT_afternoon\NYA200NOR_2024129_spp_no_ionosphere.txt,NYA200NOR,NYA2,2024129,12,no_ionosphere
240,0,14.690672916666667,1.8631658160373263,,11.091666666666667,-6.642978333333334,15.105517083333332,-74.14405749999999,6.642978333333334,15.105517083333332,79.3764,81.52851778504464,斯瓦尔巴,北半球,高纬,78.93,NYA200NOR_2024132_spp_klobuchar.txt,../output/RESULT_afternoon\NYA200NOR_2024132_spp_klobuchar.txt,NYA200NOR,NYA2,2024132,12,klobuchar
240,0,14.76714375,1.8136512509884088,,11.079166666666667,-5.6969762500000005,14.085060416666666,-68.78240041666666,5.6969762500000005,14.085060416666666,76.10525041666666,77.9625132584577,斯瓦尔巴,北半球,高纬,78.93,NYA200NOR_2024132_spp_no_ionosphere.txt,../output/RESULT_afternoon\NYA200NOR_2024132_spp_no_ionosphere.txt,NYA200NOR,NYA2,2024132,12,no_ionosphere
240,0,20.29272166666666,1.6889427018570542,,8.3,9.80433,21.791186666666665,-9.308564583333332,19.970125833333334,21.791186666666665,10.875049583333332,33.86844377039993,德国,北半球,中纬,49.14,WTZR00DEU_2024129_spp_klobuchar.txt,../output/RESULT_afternoon\WTZR00DEU_2024129_spp_klobuchar.txt,WTZR00DEU,WTZR,2024129,12,klobuchar
240,0,20.192795416666666,1.6852268972358557,,8.3,16.992125833333333,23.188812916666667,0.70479125,23.726589166666667,23.188812916666667,8.477765416666667,35.407068515012284,德国,北半球,中纬,49.14,WTZR00DEU_2024129_spp_no_ionosphere.txt,../output/RESULT_afternoon\WTZR00DEU_2024129_spp_no_ionosphere.txt,WTZR00DEU,WTZR,2024129,12,no_ionosphere
240,0,19.078446666666665,1.6067636542362467,,8.216666666666667,5.8356279166666685,18.783517083333333,-23.789952916666667,24.38059541666667,18.783517083333333,23.789952916666667,41.17732588588959,德国,北半球,中纬,49.14,WTZR00DEU_2024132_spp_klobuchar.txt,../output/RESULT_afternoon\WTZR00DEU_2024132_spp_klobuchar.txt,WTZR00DEU,WTZR,2024132,12,klobuchar
240,0,19.12779208333333,1.8478984829600855,,8.216666666666667,12.818161249999998,20.023844999999998,-13.52719,26.74871708333333,20.023844999999998,13.727022500000002,38.43799199027139,德国,北半球,中纬,49.14,WTZR00DEU_2024132_spp_no_ionosphere.txt,../output/RESULT_afternoon\WTZR00DEU_2024132_spp_no_ionosphere.txt,WTZR00DEU,WTZR,2024132,12,no_ionosphere
