prn,toe,toc,a0,a1,a2,sqrt_a,e,i0,omega0,omegadot,m0,w,delta_n,idot,c_uc,c_us,c_rc,c_rs,c_ic,c_is,tgd,health,week,fit_interval
3,266400.0,259218.0,0.00035183923319,2.0008883439e-11,0.0,5153.73519897,0.00543968833517,0.984448777672,-2.83597266752,-7.44888170439e-09,-1.52257889508,1.0761463203,3.85266047877e-09,6.02882255323e-10,-2.18488276005e-06,1.26678496599e-05,148.0,-44.125,1.22934579849e-07,8.38190317154e-08,1.39698386192e-09,0.0,2313,4
3,273584.0,272838.0,0.000351982191205,2.0008883439e-11,0.0,5153.73516273,0.00543998123612,0.984452396931,-2.83602678817,-7.60067374143e-09,-0.474815325758,1.07618817293,3.87408994282e-09,6.05382359462e-10,-1.97999179363e-06,1.29658728838e-05,147.03125,-38.8125,-3.91155481338e-08,8.00937414169e-08,1.39698386192e-09,0.0,2313,4
3,273600.0,266418.0,0.000351983122528,2.0008883439e-11,0.0,5153.73514366,0.00543997762725,0.984452426189,-2.83602691545,-7.60067374143e-09,-0.472480602131,1.07618716498,3.87408994282e-09,6.05382359462e-10,-1.97999179363e-06,1.29658728838e-05,147.0,-38.8125,-3.91155481338e-08,8.00937414169e-08,1.39698386192e-09,0.0,2313,4
3,280784.0,274068.0,0.000352125614881,2.0008883439e-11,0.0,5153.735569,0.00544020696543,0.984456651097,-2.83608110925,-7.57602985777e-09,0.57538074278,1.07612967961,3.76479967616e-09,5.42522598244e-10,-2.04518437386e-06,1.2593343854e-05,149.90625,-34.625,-1.06170773506e-07,2.79396772385e-08,1.39698386192e-09,0.0,2313,4
3,288000.0,280818.0,0.000352269969881,2.0008883439e-11,0.0,5153.73811912,0.0054404590046,0.984460716546,-2.83613589699,-7.52495630178e-09,1.62759830663,1.07638280101,3.63193699904e-09,5.63594904561e-10,-2.36369669437e-06,1.23679637909e-05,152.25,-45.53125,-1.26659870148e-07,-7.82310962677e-08,1.39698386192e-09,0.0,2313,4
3,295200.0,288018.0,0.000352413393557,2.0008883439e-11,0.0,5153.73825073,0.00544087868184,0.984465724115,-2.83618916184,-7.31030450352e-09,2.67766511758,1.07644975146,3.49121685177e-09,5.49665752928e-10,-2.73622572422e-06,1.23474746942e-05,154.375,-53.46875,9.685754776e-08,-2.421438694e-08,1.39698386192e-09,0.0,2313,4
3,302400.0,295218.0,0.000352557282895,1.98951966013e-11,0.0,5153.73538208,0.00544243340846,0.984469568663,-2.83624129293,-7.27208862597e-09,-2.55532258353,1.07638749698,3.50800326527e-09,4.93949146393e-10,-3.38442623615e-06,1.22021883726e-05,156.53125,-66.03125,1.67638063431e-08,-2.23517417908e-08,1.39698386192e-09,0.0,2313,4
3,309600.0,302418.0,0.000352700706571,1.98951966013e-11,0.0,5153.7368927,0.00544178183191,0.984472441835,-2.83629327772,-7.38030741943e-09,-1.50508151125,1.07628118087,3.55336229752e-09,3.87158983869e-10,-3.62284481525e-06,1.25151127577e-05,150.0,-69.84375,1.71363353729e-07,7.264316082e-08,1.39698386192e-09,0.0,2313,4
3,316800.0,311864.0,0.000352844595909,1.98951966013e-11,0.0,5153.73650932,0.00544200651348,0.984474390441,-2.83634716723,-7.55995775973e-09,-0.455017781203,1.07635391131,3.6690814034e-09,3.84301721995e-10,-3.35276126862e-06,1.25970691442e-05,147.4375,-64.125,-2.79396772385e-08,9.49949026108e-08,1.39698386192e-09,0.0,2313,4
3,324000.0,317028.0,0.000352988019586,1.98951966013e-11,0.0,5153.73732185,0.00544245971832,0.984476965177,-2.83640086949,-7.51352725428e-09,0.595187509572,1.07628384192,3.65408077856e-09,2.78583032673e-10,-2.98582017422e-06,1.25523656607e-05,150.0625,-57.84375,-1.41561031342e-07,2.23517417908e-08,1.39698386192e-09,0.0,2313,4
3,331200.0,325758.0,0.000353131443262,1.98951966013e-11,0.0,5153.73854828,0.00544235040434,0.984479023503,-2.83645503696,-7.47245411485e-09,1.64518238006,1.07642507935,3.66193824871e-09,2.83583240952e-10,-3.49804759026e-06,1.23642385006e-05,154.8125,-64.09375,-1.35973095894e-07,-8.56816768646e-08,1.39698386192e-09,0.0,2313,4
3,338400.0,331218.0,0.0003532753326,1.98951966013e-11,0.0,5153.73948097,0.00544247077778,0.984481602627,-2.8365083296,-7.3560206935e-09,2.69519058066,1.07655094004,3.64372320427e-09,2.85011871889e-10,-3.7606805563e-06,1.18650496006e-05,159.90625,-70.4375,9.31322574616e-09,-8.94069671631e-08,1.39698386192e-09,0.0,2313,4
3,345584.0,338898.0,0.000353419221938,1.98951966013e-11,0.0,5153.73530579,0.00544469477609,0.984483880391,-2.8365620582,-7.40995151137e-09,-2.54016920116,1.07652887485,3.79694387224e-09,4.07159816983e-10,-4.34182584286e-06,1.16322189569e-05,167.4375,-85.28125,1.47148966789e-07,-5.58793544769e-09,1.39698386192e-09,0.0,2313,4
4,259200.0,252018.0,0.000356079544872,8.52651282912e-12,0.0,5153.74073982,0.00281299022026,0.964318008173,-1.75727464797,-8.2374859815e-09,0.378237020279,-2.93939586429,4.96449250533e-09,1.17862052285e-10,7.65547156334e-07,4.86150383949e-06,282.9375,16.6875,3.72529029846e-09,-7.45058059692e-09,-4.65661287308e-09,0.0,2313,4
4,266400.0,259218.0,0.000356141012162,8.52651282912e-12,0.0,5153.74022484,0.00281284633093,0.964318937126,-1.75733430869,-8.25962976102e-09,1.42846256662,-2.93947757997,5.08521181948e-09,1.70364239211e-10,1.01700425148e-06,5.04031777382e-06,284.4375,15.46875,5.96046447754e-08,3.53902578354e-08,-4.65661287308e-09,0.0,2313,4
4,273600.0,266418.0,0.000356202013791,8.52651282912e-12,0.0,5153.739748,0.00281290384009,0.964320755533,-1.75739409523,-8.18462663684e-09,2.47869575817,-2.93956581879,5.10056960205e-09,2.65011038773e-10,9.23871994019e-07,5.11296093464e-06,285.65625,16.875,-7.45058059692e-08,1.30385160446e-08,-4.65661287308e-09,0.0,2313,4
4,280800.0,276108.0,0.00035626348108,8.52651282912e-12,0.0,5153.73980331,0.00281287182588,0.964322746565,-1.7574529967,-8.17748348215e-09,-2.75433911035,-2.93957158854,5.079140138e-09,2.78940190407e-10,9.05245542526e-07,5.16697764397e-06,285.8125,17.21875,-5.77419996262e-08,-4.65661287308e-08,-4.65661287308e-09,0.0,2313,4
